"","cluster","r","g","b","cor"
"1",1,0.901565088905944,0.885163919379618,0.87117882961826,"#E6E2DE"
"2",2,0.71739575220304,0.591131279202879,0.538090701010831,"#B79789"
"3",3,0.372468159717243,0.320254949039855,0.270867897670965,"#5F5245"
"4",4,0.666450179082104,0.175128441708388,0.161406028793266,"#AA2D29"
"5",5,0.937304556638806,0.661088407523506,0.0891043331927547,"#EFA917"
"6",6,0.177927859127495,0.106804172358947,0.0885561831599014,"#2D1B17"
